Feature,Formula,Type,Expected Benefit,EDA Source,Missing Count,Infinite Count,Target Association,Target Association Scope,Target Association Rows,Target Association Builder Fit Scope,Target Association Builder Fit Rows,Max Raw Redundancy,Leakage Audit,Interpretability,Decision,Decision Reason
key_sin,sin(2*pi*(key mod 12)/12),numeric,"NB04 correlation review: key is cyclic, so endpoints 0/11 must be adjacent.",Notebook 04 — EDA,0,0,0.012207702825144237,release_year <= 2017,120000,release_year <= 2017,543611,0.7067029068714094,Automated Dependency PASS,Design Audit PASS,KEEP,KEEP: first coordinate of a two-dimensional cyclic key representation.
key_cos,cos(2*pi*(key mod 12)/12),numeric,NB04 correlation review: complementary coordinate required for cyclic key.,Notebook 04 — EDA,0,0,0.009251848205773535,release_year <= 2017,120000,release_year <= 2017,543611,0.42072608443864706,Automated Dependency PASS,Design Audit PASS,KEEP,KEEP: complementary coordinate preserves key-cycle geometry with key_sin.
dance_energy,danceability * energy,numeric,NB04 audio distributions/correlation: danceability and energy may act jointly.,Notebook 04 — EDA,0,0,0.3408750356748344,release_year <= 2017,120000,release_year <= 2017,543611,0.8697883802422692,Automated Dependency PASS,Design Audit PASS,KEEP,KEEP: nonlinear danceability-by-energy interaction for additive model classes.
positive_energy,valence * energy,numeric,NB04 nonlinear bins: valence and energy jointly describe intensity/mood.,Notebook 04 — EDA,0,0,0.219045890224913,release_year <= 2017,120000,release_year <= 2017,543611,0.8246427274776537,Automated Dependency PASS,Design Audit PASS,KEEP,KEEP: nonlinear valence-by-energy interaction representing positive intensity.
acoustic_energy_balance,acousticness / (acousticness + energy + epsilon),numeric,NB04 audio distributions: acousticness and energy oppose each other strongly.,Notebook 04 — EDA,0,0,0.3808418448660544,release_year <= 2017,120000,release_year <= 2017,543611,0.9590968151449101,Automated Dependency PASS,Design Audit PASS,KEEP,"KEEP: bounded relative balance, not a claim of low source correlation."
dance_valence,danceability * valence,numeric,NB04 nonlinear bins: danceability and valence show non-additive patterns.,Notebook 04 — EDA,0,0,0.0733377434597985,release_year <= 2017,120000,release_year <= 2017,543611,0.9313932968282954,Automated Dependency PASS,Design Audit PASS,KEEP,KEEP: nonlinear danceability-by-valence interaction motivated by binned EDA.
acoustic_instrumental,acousticness * instrumentalness,numeric,NB04 right-skew review: acoustic/instrumental content co-occurs.,Notebook 04 — EDA,0,0,0.2545779128833007,release_year <= 2017,120000,release_year <= 2017,543611,0.9672234584368087,Automated Dependency PASS,Design Audit PASS,KEEP,KEEP: joint acoustic/instrumental texture signal despite source correlation.
tempo_energy,tempo * energy,numeric,NB04 audio review: speed and energy jointly express intensity.,Notebook 04 — EDA,0,0,0.306651388650564,release_year <= 2017,120000,release_year <= 2017,543611,0.9168725507710475,Automated Dependency PASS,Design Audit PASS,KEEP,KEEP: speed-by-energy interaction can expose intensity unavailable additively.
energy_vs_period_avg,energy - train decade energy mean,numeric,NB04 decade trends show energy changes over time.,Notebook 04 — EDA,0,0,0.06721496965765113,release_year <= 2017,120000,release_year <= 2017,543611,0.8872427570225845,Automated Dependency PASS,Design Audit PASS,KEEP,KEEP: contextual deviation from train-only decade energy reference.
dance_vs_period_avg,danceability - train decade danceability mean,numeric,NB04 decade trends show danceability changes over time.,Notebook 04 — EDA,0,0,0.04197394695120157,release_year <= 2017,120000,release_year <= 2017,543611,0.9691929964255823,Automated Dependency PASS,Design Audit PASS,KEEP,KEEP: contextual deviation from train-only decade dance reference.
energy_loudness,energy * loudness,numeric,NB04 correlation review: loudness and energy are related but not identical.,Notebook 04 — EDA,0,0,0.07096678766970443,release_year <= 2017,120000,release_year <= 2017,543611,0.47642695662589896,Automated Dependency PASS,Design Audit PASS,KEEP,KEEP: explicit energy-by-loudness interaction; high correlation is acknowledged.
speechiness_log,"log1p(max(speechiness, 0))",numeric,NB04 distribution review: speechiness is right-skewed.,Notebook 04 — EDA,0,0,0.05868371699148153,release_year <= 2017,120000,release_year <= 2017,543611,0.9999999999999998,Automated Dependency PASS,Design Audit PASS,DROP,DROP only after the selection-train audit verifies near-exact monotonic rank redundancy (>=0.999) with retained raw speechiness; log1p adds no ordering information for the current model contract. Measured selection-train |Spearman|=1.000000.
instrumentalness_log,"log1p(max(instrumentalness, 0))",numeric,NB04 distribution review: instrumentalness is right-skewed.,Notebook 04 — EDA,0,0,0.21660015022747153,release_year <= 2017,120000,release_year <= 2017,543611,0.9999999999999998,Automated Dependency PASS,Design Audit PASS,DROP,DROP only after the selection-train audit verifies near-exact monotonic rank redundancy (>=0.999) with retained raw instrumentalness; log1p adds no ordering information for the current model contract. Measured selection-train |Spearman|=1.000000.
mood_quadrant,energy/valence quadrants at normalized midpoint 0.5,categorical,NB04 normalized audio review supports interpretable mood quadrants.,Notebook 04 — EDA,0,0,0.30908168742555964,release_year <= 2017,120000,release_year <= 2017,543611,,Automated Dependency PASS,Design Audit PASS,KEEP,KEEP: interpretable categorical regime using normalized domain midpoints.
duration_category,short/standard/long from train q33/q67,categorical,NB04 duration/time trends show nonlinear duration behavior.,Notebook 04 — EDA,0,0,0.22312052138098232,release_year <= 2017,120000,release_year <= 2017,543611,,Automated Dependency PASS,Design Audit PASS,KEEP,KEEP: train-quantile duration regime captures nonlinear duration behavior.
tempo_category,four bins from train q25/q50/q75,categorical,NB04 nonlinear binned plots motivate tempo regimes.,Notebook 04 — EDA,0,0,0.06997086805505447,release_year <= 2017,120000,release_year <= 2017,543611,,Automated Dependency PASS,Design Audit PASS,KEEP,KEEP: train-quantile tempo regime captures nonlinear tempo behavior.
