Feature,Formula,Type,Expected Benefit,EDA Source,Missing Count,Infinite Count,Target Association,Max Raw Redundancy,Leakage Check,Interpretability,Decision,Decision Reason
key_sin,sin(2*pi*(key mod 12)/12),numeric,"NB04 correlation review: key is cyclic, so endpoints 0/11 must be adjacent.",Notebook 04 — EDA,0,0,0.014007124431409628,0.7037494094775376,PASS — formula/fit excludes target,PASS,KEEP,"KEEP: executable, valid, leakage-safe candidate with EDA/domain rationale."
key_cos,cos(2*pi*(key mod 12)/12),numeric,NB04 correlation review: complementary coordinate required for cyclic key.,Notebook 04 — EDA,0,0,0.0063203979639460004,0.4215288577865228,PASS — formula/fit excludes target,PASS,KEEP,"KEEP: executable, valid, leakage-safe candidate with EDA/domain rationale."
dance_energy,danceability * energy,numeric,NB04 audio distributions/correlation: danceability and energy may act jointly.,Notebook 04 — EDA,0,0,0.3332965408652963,0.8675685276209433,PASS — formula/fit excludes target,PASS,KEEP,"KEEP: executable, valid, leakage-safe candidate with EDA/domain rationale."
positive_energy,valence * energy,numeric,NB04 nonlinear bins: valence and energy jointly describe intensity/mood.,Notebook 04 — EDA,0,0,0.20648272581926227,0.8250561315529922,PASS — formula/fit excludes target,PASS,KEEP,"KEEP: executable, valid, leakage-safe candidate with EDA/domain rationale."
acoustic_energy_balance,acousticness / (acousticness + energy + epsilon),numeric,NB04 audio distributions: acousticness and energy oppose each other strongly.,Notebook 04 — EDA,0,0,0.36976678994407564,0.9602919909448377,PASS — formula/fit excludes target,PASS,KEEP,"KEEP: executable, valid, leakage-safe candidate with EDA/domain rationale."
dance_valence,danceability * valence,numeric,NB04 nonlinear bins: danceability and valence show non-additive patterns.,Notebook 04 — EDA,0,0,0.06956748542856063,0.931649576053735,PASS — formula/fit excludes target,PASS,KEEP,"KEEP: executable, valid, leakage-safe candidate with EDA/domain rationale."
acoustic_instrumental,acousticness * instrumentalness,numeric,NB04 right-skew review: acoustic/instrumental content co-occurs.,Notebook 04 — EDA,0,0,0.257427934687435,0.9660652614765085,PASS — formula/fit excludes target,PASS,KEEP,"KEEP: executable, valid, leakage-safe candidate with EDA/domain rationale."
tempo_energy,tempo * energy,numeric,NB04 audio review: speed and energy jointly express intensity.,Notebook 04 — EDA,0,0,0.29642574934555016,0.9165178495281755,PASS — formula/fit excludes target,PASS,KEEP,"KEEP: executable, valid, leakage-safe candidate with EDA/domain rationale."
energy_vs_period_avg,energy - train decade energy mean,numeric,NB04 decade trends show energy changes over time.,Notebook 04 — EDA,0,0,0.05495118939932079,0.887970637293158,PASS — formula/fit excludes target,PASS,KEEP,"KEEP: executable, valid, leakage-safe candidate with EDA/domain rationale."
dance_vs_period_avg,danceability - train decade danceability mean,numeric,NB04 decade trends show danceability changes over time.,Notebook 04 — EDA,0,0,0.04566613937672462,0.9680430254425713,PASS — formula/fit excludes target,PASS,KEEP,"KEEP: executable, valid, leakage-safe candidate with EDA/domain rationale."
energy_loudness,energy * loudness,numeric,NB04 correlation review: loudness and energy are related but not identical.,Notebook 04 — EDA,0,0,0.058800386550272636,0.4714872535900644,PASS — formula/fit excludes target,PASS,KEEP,"KEEP: executable, valid, leakage-safe candidate with EDA/domain rationale."
speechiness_log,"log1p(max(speechiness, 0))",numeric,NB04 distribution review: speechiness is right-skewed.,Notebook 04 — EDA,0,0,0.04894391006444418,1.0,PASS — formula/fit excludes target,PASS,DROP,DROP: exact monotonic rank redundancy with retained raw speechiness.
instrumentalness_log,"log1p(max(instrumentalness, 0))",numeric,NB04 distribution review: instrumentalness is right-skewed.,Notebook 04 — EDA,0,0,0.22298087548559442,0.9999999999999998,PASS — formula/fit excludes target,PASS,DROP,DROP: exact monotonic rank redundancy with retained raw instrumentalness.
mood_quadrant,energy/valence quadrants at normalized midpoint 0.5,categorical,NB04 normalized audio review supports interpretable mood quadrants.,Notebook 04 — EDA,0,0,0.3016377892828797,,PASS — formula/fit excludes target,PASS,KEEP,"KEEP: executable, valid, leakage-safe candidate with EDA/domain rationale."
duration_category,short/standard/long from train q33/q67,categorical,NB04 duration/time trends show nonlinear duration behavior.,Notebook 04 — EDA,0,0,0.2144356056279992,,PASS — formula/fit excludes target,PASS,KEEP,"KEEP: executable, valid, leakage-safe candidate with EDA/domain rationale."
tempo_category,four bins from train q25/q50/q75,categorical,NB04 nonlinear binned plots motivate tempo regimes.,Notebook 04 — EDA,0,0,0.07181105487733239,,PASS — formula/fit excludes target,PASS,KEEP,"KEEP: executable, valid, leakage-safe candidate with EDA/domain rationale."
